temperature,humidity,ph,rainfall,crops
20.87974371,82.00274423,6.502985292,202.9355362,rice
21.77046169,80.31964408,7.038096361,226.6555374,rice
23.00445915,82.3207629,7.840207144,263.9642476,rice
22.75088787,90.69489172,5.521466996,110.4317855,apple
23.8494014,94.34814995,6.133220586,114.0512495,apple
22.60800988,94.58900601,6.226289556,116.0396587,apple
26.7627493,92.86056895,6.420018717,224.5903664,coconut
25.61294367,94.3138837,5.740054567,224.3206759,coconut
28.130115,95.64807631,5.686972967,151.0761899,coconut
29.99677232,81.54156612,6.112305667,67.12534492,grapes
30.7280404,82.42614055,6.092241627,68.38135469,grapes
32.44577836,83.88504863,5.896343436,68.73932528,grapes
22.61359953,63.69070564,5.749914421,87.75953857,maize
26.10018422,71.57476937,6.931756558,102.2662445,maize
29.73770045,47.54885174,5.954626604,90.09586854,mango
33.55695561,53.72979826,4.757114897,98.67527561,mango
27.00315545,47.67525434,5.699586972,95.85118326,mango
23.55882094,71.59351368,6.657964753,66.71995467,maize
15.78144173,92.51077745,6.354006744,119.035002,orange
26.03097313,91.50819306,7.511755068,101.2847738,orange
13.36050601,91.35608208,7.335158382,111.2266885,orange